Pacto,Sub Pacto,Partido,Candidato
PACTO JUSTICIA Y TRANSPARENCIA,,UNION PATRIOTICA,JORGE ARAVENA EGAÑA
PACTO JUSTICIA Y TRANSPARENCIA,,UNION PATRIOTICA,JOSE VASQUEZ VIDAL
PACTO JUSTICIA Y TRANSPARENCIA,,UNION PATRIOTICA,ALDO IVAN CONTRERAS ZUÑIGA
PACTO JUSTICIA Y TRANSPARENCIA,,INDEPENDIENTE,CARLA GONZALEZ MORALES
PACTO JUSTICIA Y TRANSPARENCIA,,INDEPENDIENTE,GLADYS CONCHA CASTILLO
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,GERMAN PINO MATURANA
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,CLAUDIA ALARCON ORELLANA
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,LUIS CATALAN FERNANDEZ
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,WILLSON JARA PINO
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,INDEPENDIENTE,MARIANELA AEDO CID
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,SERGIO ROBLES PINTO
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,INDEPENDIENTE,LUIS CESAR ESPINDOLA VERA
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,INDEPENDIENTE,LEONARDO ALBERTO GUTIERREZ CHEUQUELAF
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,PABLO LUIS JAEGER COUSIÑO
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,CONRADO CARTES MONTECINO
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,MARIA CECILIA LASTRA HERNANDEZ
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,VICTORIA ANTONIA OLGA GOMEZ BERROETA
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,RAMON ANTONIO RADA MLADINICH
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,JULIO JUNG DEL FAVERO
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,SOLEDAD BARRIENTOS DELHERBE
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,SEBASTIAN FARIAS INOSTROZA
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,CONSTANZA MONTECINOS REVELLO
PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,HANZ ERICH FONFACH UGALDE
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,PATRICIA ALEJANDRA CARRASCO LANDEROS
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,RAMON IBAÑEZ QUISPE
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,JAMES MERY BELL
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,JEDRICK TENHO JURE
PACTO CON LA FUERZA DEL FUTURO,"SUBPACTO IC, MAS REGION E INDEPENDIENTES",INDEPENDIENTE,CLAUDIA LIBIA CABRERA VASQUEZ
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,MANUEL JOSE MONCKEBERG BALMACEDA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,PILAR CRUZ HURTADO
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,PEDRO LIZANA GREVE
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,PAULETTE HARTARD CAROCA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,FERNANDO ANDRES BALMACEDA CACERES
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,FERNANDO ECHEVERRIA LUBBERT
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,BARBARA TAPPEN DE LA CARRERA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,ALEJANDRO GOMEZ CORTES
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,JULIO MUÑOZ AQUEVEQUE
PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,JUAN CARLOS LABBE REYES
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,PABLO ALBERTO CELEDON VALENZUELA
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,MARCELO JAVIER CRESPO PEREZ DE ARCE
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,JORGE SAINT-JEAN HERNANDEZ
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,PEDRO ITURRIETA VERGARA
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO PRI E INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,SEBASTIAN LAFAURIE RIVERA
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO PRI E INDEPENDIENTES,INDEPENDIENTE,ELIZABET RUDZAJS CORBALAN
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO PRI E INDEPENDIENTES,INDEPENDIENTE,EDMUNDO VON POTTSTOCK MOLINA
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO PRI E INDEPENDIENTES,INDEPENDIENTE,JAIME FUENTES MARDONES
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO PRI E INDEPENDIENTES,INDEPENDIENTE,LUISA EDWARDS MORICE
PACTO CAMBIEMOS LA HISTORIA,,REVOLUCION DEMOCRATICA,TOMAS ECHIBURU ALTAMIRANO
PACTO CAMBIEMOS LA HISTORIA,,REVOLUCION DEMOCRATICA,DIEGO EDWARDS ZAMORA
PACTO CAMBIEMOS LA HISTORIA,,REVOLUCION DEMOCRATICA,ALFREDO VICENTE ROJAS FIGUEROA
PACTO CAMBIEMOS LA HISTORIA,,REVOLUCION DEMOCRATICA,BERNARDO VALDES ECHENIQUE
PACTO CAMBIEMOS LA HISTORIA,,REVOLUCION DEMOCRATICA,GABRIEL IGNACIO RAMIREZ MARTINEZ
PACTO CAMBIEMOS LA HISTORIA,,INDEPENDIENTE,SANDRA BASSO ARANEDA
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,IVAN NOGUERA PHILLIPS
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,XIMENA MARDONES TALADRIZ
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,PILAR FERNANDEZ VALBUENA
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,PABLO SIEGEL IGNATIEW
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,MAITE BASTERRECHEA GONZALEZ
PACTO PUEBLO UNIDO,SUBPACTO IGUALDAD PARA CHILE,PARTIDO IGUALDAD,IGNACIO ENRIQUE MUÑOZ CRISTI
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,JAIME PARADA HOYL
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,MATIAS RAFAEL CONEJEROS DE LA CRUZ
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,FELIPE CONTARDO DIAZ
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,JORGE VERGARA CASTRO
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,URSULA EGGERS GUTIERREZ
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,PETER LOCH TRONCOSO
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,CLAUDIO FRANCISCO CACERES BAHAMONDES
PACTO ALTERNATIVA DEMOCRATICA,SUBPACTO HUMANISTAS E INDEPENDIENTES,PARTIDO HUMANISTA,PAMELA PONCE FORNER
PACTO ALTERNATIVA DEMOCRATICA,SUBPACTO HUMANISTAS E INDEPENDIENTES,PARTIDO HUMANISTA,JOSE HUMBERTO CASTRO MENDEZ
PACTO JUSTICIA Y TRANSPARENCIA,,UNION PATRIOTICA,NELLY MARZOUKA BUTTO
PACTO JUSTICIA Y TRANSPARENCIA,,UNION PATRIOTICA,JAVIERA RIVERA HAUENSTEIN
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,FERNANDO BORQUEZ URIBE
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,LORETTO ROJAS GONZALEZ
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,INDEPENDIENTE,CARLOS GUZMAN CARVAJAL
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,INDEPENDIENTE,JORGE SEPULVEDA GONZALEZ
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,LUIS EDUARDO IBACACHE SILVA
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,ANA MARIA LOPEZ ROZAS
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,OSCAR FERNANDO ALVAREZ CACERES
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,WALTER ALBERT VOGEL ESCOBAR
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,INDEPENDIENTE,MARCELO IGNACIO BERNAL TERAN
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,CRISTOBAL AMARO LABRA BASSA
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,JORGE BURGOS ESPINOSA
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,ROSARIO CAMPUSANO CRUZ
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,CAMILO ROJAS ARANCIBIA
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,ELIAS GUSTAVO BRICEÑO OLGUIN
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,CLAUDIO ANDRES PARDO PONCE
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,AXEL PINTO-AGUERO BARRIA
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,FERNANDO SAAVEDRA PRADO
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,PARTIDO RADICAL SOCIALDEMOCRATA,SALVADOR EUGENIO RETAMAL MENDEZ
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,PARTIDO RADICAL SOCIALDEMOCRATA,ALEJANDRO FLORES VEGA
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,VICTOR CONTRERAS VICENCIO
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,KATHERINE VALESKA PONCE VALENZUELA
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,RODOLFO ELEUTERIO LIZANA SALGADO
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,SANTIAGO GUILLERMO VILLANUEVA MOLINA
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,LUIS ALEJANDRO TADEO OLIVERA ALVAREZ
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,ELIZABETH GALLEGUILLOS MEDINA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,YAN EJSMENTEWICZ VALERO
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,MARCELO ANTONIO PEREZ FUENTES
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,DAMARIS ARMIJO TORRES
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,JOSE MANUEL MANRIQUEZ PALMA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,DAVID JOHNNY SEPULVEDA SAAVEDRA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,LILIAN CONTRERAS AGUIRRE
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,GONZALO LUNA NEGRETE
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,LORENA VERONICA ESTER MARTINEZ GONZALEZ
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,JUAN IGNACIO GUTIERREZ DURAN
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,MARIA DOMINGA CONTRERAS MARTINEZ
PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,MARIA OLGA GAJARDO MUÑOZ
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,ALBERTO LIRA MOLLER
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,CRISTIAN MARCELO MORALES PIZARRO
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,RICHARD ANTONIO MUÑOZ AGUILERA
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,CELIA CESPEDES CATALAN
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,LUCIA ARRIAGADA ORELLANA
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,RICARDO AVILA ARANGUIZ
PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,SILVIA ELIZABETH PARRA REYES
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,NELSON IVAN ARCE ROBLEDO
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,CARLOS MARCELO ROJAS MUÑOZ
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,CLAUDIA TORRES CARILAO
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,HERNAN PATRICIO QUEZADA GUERRERO
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,MOISES DANIEL MIRANDA DONOSO
PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,WILSON WILLY NEEDHAM QUIJADA
PACTO ALTERNATIVA DEMOCRATICA,SUBPACTO HUMANISTAS E INDEPENDIENTES,PARTIDO HUMANISTA,CESAR MONTENEGRO AMPUERO
PACTO ALTERNATIVA DEMOCRATICA,SUBPACTO HUMANISTAS E INDEPENDIENTES,PARTIDO HUMANISTA,FERNANDO GABRIEL SEPULVEDA ROSAS
PACTO JUSTICIA Y TRANSPARENCIA,,UNION PATRIOTICA,ALEJANDRO ARAVENA EGAÑA
PACTO JUSTICIA Y TRANSPARENCIA,,UNION PATRIOTICA,JAVIERA OSORIO NAVARRO
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,RAMON ORTIZ SEGUEL
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,LUZ BUSTOS GATICA
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,FRANCISCO PERALTA ORELLANA
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,DIEGO FUENTES DURAN
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,CRISTIAN RIVEROS ESPINOZA
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,GUSTAVO ARIEL ARIAS CAMPOS
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,ANTONIO CACERES GONZALEZ
PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,INDEPENDIENTE,ALICIA GRICELDA VILLEGAS LAGOS
